"","PRIMARY_KEY","ORGANIZATION_NAME","SUB_BUILDING_NAME","BUILDING_NAME","NUMBER","PRIMARY_THORFARE","ALT_THORFARE","SECONDARY_THORFARE","LOCALITY","TOWNLAND","TOWN","COUNTY","POSTCODE","X_CORDINATE","Y_CORDINATE"
"279790",279790,"","","","66","BROAD ROAD","","","","CAHERY","LIMAVADY","LONDONDERRY","BT490QH",269740,423711
"279794",279794,"","","","52","ROEVIEW PARK","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BQ",267023,422268
"279797",279797,"","","","108","CASTLE PARK","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SB",268345,422993
"279798",279798,"","","","11","CASTLE GARDENS","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SD",268349,422943
"279799",279799,"","","","189","WHITEHILL PARK","","","","CARRAN","LIMAVADY","LONDONDERRY","BT490QQ",268503,421459
"279800",279800,"","","","7","ROEMMELE HAVEN","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490EB",268507,422270
"279801",279801,"","","","76","DRUMSURN ROAD","","","","BALLYNAHERY","LIMAVADY","LONDONDERRY","BT490PD",270114,422238
"279802",279802,"","","","7","BENEVENAGH DRIVE","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AQ",267378,422605
"279804",279804,"","","","15","GRANGE PARK","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AW",267428,422727
"279805",279805,"","","","15","SCROGGY PARK","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DE",267646,423055
"279806",279806,"","","","22","SCROGGY PARK","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490NA",267651,423033
"279807",279807,"","","","36","THORNDALE","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490ST",268158,421947
"279809",279809,"","","","19","BRANSON PARK","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490TB",268703,422060
"279810",279810,"","","","84","ALEXANDER ROAD","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BP",267390,423420
"279814",279814,"","","","6","ROSSVIEW DRIVE","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490WD",268981,421922
"279816",279816,"","","","5","SCRIGGAN ROAD","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DH",268070,423574
"279818",279818,"","","","171","WHITEHILL PARK","","","","CARRAN","LIMAVADY","LONDONDERRY","BT490QQ",268426,421453
"279822",279822,"","","","64","CASTLE PARK","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SB",268419,423021
"279829",279829,"","","","27","ANDERSON PARK","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490RH",268255,422363
"279830",279830,"","","","90A","MEADOWVALE PARK","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490RD",268260,422121
"279835",279835,"","","","1","FIDDLERS WAY","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490TX",268518,422452
"279836",279836,"","","","106","BROAD ROAD","","","","BALLYRISK BEG","LIMAVADY","LONDONDERRY","BT490QP",271472,424551
"279841",279841,"","","","70","WHISPERING PINES","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490UB",269039,422537
"280022",280022,"","","","50","DRUMADUFF ROAD","","","","MAINE SOUTH","LIMAVADY","LONDONDERRY","BT490PT",271409,416121
"280054",280054,"","","","258","DRUMSURN ROAD","","","","DRUMSURN LOWER","LIMAVADY","LONDONDERRY","BT490PP",271898,417121
"280059",280059,"","","","188","DRUMRANE ROAD","","","","TEMPLEMOYLE","LIMAVADY","LONDONDERRY","BT499LJ",267838,417107
"280060",280060,"","","","58A","KILHOYLE ROAD","","","","KILHOYLE","LIMAVADY","LONDONDERRY","BT490PU",274903,416187
"280064",280064,"","","","55","POLLYS BRAE ROAD","","","","MOYS","LIMAVADY","LONDONDERRY","BT499LN",266476,417883
"280346",280346,"","","","40","LILAC AVENUE","","","","GORTNAMONEY","LIMAVADY","LONDONDERRY","BT490HS",268015,425136
"285100",285100,"","","","103","CARROWCLARE ROAD","","","","CARROWCLARE","LIMAVADY","LONDONDERRY","BT499EB",263864,427605
"286011",286011,"","","","20","NEWTON ROAD","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490UD",268695,422771
"286015",286015,"","","","6","THE MALL","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AD",267073,423102
"286142",286142,"","","","10","MILL PARK","","","","CARRYDOO","LIMAVADY","LONDONDERRY","BT490QD",271411,425491
"286237",286237,"","","","27","PLANTATION VIEW","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490UX",268828,423001
"286382",286382,"SEACOAST VEHICLE SERVICES","","","75","SEACOAST ROAD","","","","LOWER CORNDALE","LIMAVADY","LONDONDERRY","BT499DW",266418,424972
"286433",286433,"","","","10A","MAIN STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EU",266953,423191
"286622",286622,"","","","50","ROE MILL GARDENS","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AU",267198,422255
"286657",286657,"","","","39A","BENEVENAGH DRIVE","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AL",267338,422614
"286658",286658,"","","","17","BALLYCLOSE STREET","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BL",267385,423427
"286923",286923,"","","","23A","MAIN STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EP",266994,423174
"286961",286961,"","","LIMAVADY FREE PRESBYTERIAN CHURCH","59A","CHURCH STREET","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BX",267667,423223
"287072",287072,"","","","29","DANNY BOY PLACE","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490UH",268933,422232
"287198",287198,"LARGY COMMUNITY HALL","","","119","DRUMRANE ROAD","","","","LARGY","LIMAVADY","LONDONDERRY","BT499LQ",267219,418570
"287346",287346,"","","","13","BROOKFIELD PARK","","","","LARGY","LIMAVADY","LONDONDERRY","BT499ER",267283,418187
"287367",287367,"","","","44","DRUMAVALLY","","","","DRUMAVALLY","LIMAVADY","LONDONDERRY","BT490LT",267134,432912
"287368",287368,"","","","28","POINT ROAD","","","","OUGHTYMORE","LIMAVADY","LONDONDERRY","BT490LP",267875,434576
"287438",287438,"","","","1","LILAC AVENUE","","","","GORTNAMONEY","LIMAVADY","LONDONDERRY","BT490HS",268105,424979
"287523",287523,"","","","4","JOSEPHINE TERRACE","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AY",267175,422329
"287752",287752,"","","","164","CARROWCLARE ROAD","","","","BALLYMACRAN","LIMAVADY","LONDONDERRY","BT499EA",263803,426476
"287996",287996,"","","","52","POLLYS BRAE ROAD","","","","CARRICK","LIMAVADY","LONDONDERRY","BT499LN",266489,417818
"288009",288009,"","","","34","LILAC AVENUE","","","","GORTNAMONEY","LIMAVADY","LONDONDERRY","BT490HS",267990,425099
"288011",288011,"","","","27","DOWLAND ROAD","","","FRUITHILL","STREEVE","LIMAVADY","LONDONDERRY","BT490HP",268598,424317
"288029",288029,"","","","86","DRUMACHOSE PARK","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490NZ",268136,422264
"288034",288034,"","","","21","DRUMCEATT PARK","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT499HE",267315,421836
"288036",288036,"","","","10A","WHITEHILL PARK","","","","CARRAN","LIMAVADY","LONDONDERRY","BT490QF",268014,421661
"288037",288037,"","","","25","JOSEPHINE AVENUE","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AZ",267150,422343
"288218",288218,"","","","4","WINDSOR AVENUE","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DA",267683,423356
"288263",288263,"","","","5B-5C","CONNELL STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490DB",267135,423239
"289368",289368,"","","","9","CARLARAGH ROAD","","","","TAMLAGHT","LIMAVADY","LONDONDERRY","BT499LD",266050,421223
"289640",289640,"","","","29","MEADOWVALE PARK","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490NU",268131,422020
"289644",289644,"","","SEACOAST VARIETY STORE",NA,"SEACOAST ROAD","","","","LENAMORE","LIMAVADY","LONDONDERRY","BT490LD",267347,433047
"289653",289653,"","","","12","POLLYS BRAE ROAD","","","","LARGY","LIMAVADY","LONDONDERRY","BT499LL",267280,418229
"289731",289731,"","","","40","CHURCH STREET","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BY",267667,423316
"289741",289741,"","","","183","ROE MILL ROAD","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT499EX",267275,421568
"289812",289812,"","","","8","BENEVENAGH DRIVE","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AQ",267384,422608
"289854",289854,"","","","71","WHITEHILL PARK","","","","CARRAN","LIMAVADY","LONDONDERRY","BT490QF",268147,421479
"289891",289891,"","","MYROE PRESBYTERIAN CHURCH",NA,"SEACOAST ROAD","","","","LOMOND","LIMAVADY","LONDONDERRY","BT499EG",266086,426103
"289932",289932,"","","","77","ROSE PARK","","","","CARRAN","LIMAVADY","LONDONDERRY","BT490BF",268751,421504
"289988",289988,"","","","35","ROSSEDEN PARK","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490PQ",268895,422109
"290610",290610,"","","","7","CROSSNADONNELL ROAD","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490BD",268524,422563
"290625",290625,"","","","11A","LOUGHERMORE ROAD","","","","WALWORTH","LIMAVADY","LONDONDERRY","BT499PB",262482,422154
"290909",290909,"","","","161","SEACOAST ROAD","","","","CRESSY CRIB","LIMAVADY","LONDONDERRY","BT499EG",266193,427520
"291036",291036,"","","","49","CROSSNADONNELL ROAD","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490BD",268795,422607
"291335",291335,"","","","115","SHANREAGH PARK","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SG",268121,422593
"291344",291344,"","","","42","ANDERSON PARK","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490RH",268191,422393
"291355",291355,"","","","1","ROSSLYN CLOSE","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490WA",269068,422116
"291371",291371,"","","","1","DRUMAVALLY","","","","DRUMAVALLY","LIMAVADY","LONDONDERRY","BT490LT",267211,432803
"291374",291374,"","","","3","RATHBEG DRIVE","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490BB",267611,422538
"291410",291410,"","","DUN BREFFNI","136","ROE MILL ROAD","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BG",267114,422251
"291456",291456,"","","","38","BENBRADAGH AVENUE","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AR",267387,422471
"291569",291569,"","","","97","AGHANLOO ROAD","","","","RATHFAD","LIMAVADY","LONDONDERRY","BT490HY",267881,428071
"292578",292578,"","","","14","BOLEA ROAD","","","","DERRY BEG","LIMAVADY","LONDONDERRY","BT490QT",269399,424624
"292689",292689,"","","","105","ALEXANDER ROAD","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BP",267459,423373
"292911",292911,"","","","57","MAIN STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EP",267093,423242
"293052",293052,"","","","472B","SEACOAST ROAD","","","","BALLYMULHOLLAND","LIMAVADY","LONDONDERRY","BT490LF",267607,433665
"293199",293199,"","","","8","TYLER PARK","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DS",267869,423428
"293397",293397,"","","","25","ARDGARVAN COTTAGES","","","","ARDGARVAN","LIMAVADY","LONDONDERRY","BT490NF",268634,420210
"293458",293458,"","","","11","KILHOYLE ROAD","","","","DRUMSURN LOWER","LIMAVADY","LONDONDERRY","BT490PU",272835,416461
"293683",293683,"","","","318","SEACOAST ROAD","","","","OUGHTYMOYLE","LIMAVADY","LONDONDERRY","BT490JY",266890,431616
"293701",293701,"","","","70","GORTNARNEY ROAD","","","","TEMAIN","LIMAVADY","LONDONDERRY","BT490PZ",273418,419220
"293778",293778,"","","","24","GORTGARN ROAD","","","","KEADY","LIMAVADY","LONDONDERRY","BT490QW",271623,423610
"293804",293804,"","","","363","SEACOAST ROAD","","","","MARGYMONAGHAN","LIMAVADY","LONDONDERRY","BT490LA",267566,433163
"293940",293940,"","","","510","SEACOAST ROAD","","","","CLOONEY","LIMAVADY","LONDONDERRY","BT490LW",268528,434022
"293954",293954,"","","","27","DRUMAVALLY","","","","DRUMAVALLY","LIMAVADY","LONDONDERRY","BT490LT",267111,432871
"293955",293955,"","","","83","DRUMAVALLY","","","","DRUMAVALLY","LIMAVADY","LONDONDERRY","BT490LT",267127,432974
"293956",293956,"","","","680","SEACOAST ROAD","","","","BENONE","LIMAVADY","LONDONDERRY","BT490LH",271278,435370
"293961",293961,"","","","51","DRUMAVALLY","","","","DRUMAVALLY","LIMAVADY","LONDONDERRY","BT490LT",267159,432955
"293962",293962,"","","","19","DRUMAVALLY","","","","DRUMAVALLY","LIMAVADY","LONDONDERRY","BT490LT",267193,432817
"293963",293963,"","","","470","SEACOAST ROAD","","","","BALLYMULHOLLAND","LIMAVADY","LONDONDERRY","BT490LF",266642,434403
"293964",293964,"","","","16","OUGHTYMOYLE AVENUE","","","","OUGHTYMOYLE","LIMAVADY","LONDONDERRY","BT490JZ",266744,431731
"293966",293966,"","","","2","OUGHTYMOYLE AVENUE","","","","OUGHTYMOYLE","LIMAVADY","LONDONDERRY","BT490JZ",266899,431662
"293975",293975,"GOLDEN SANDS CARAVAN PARK","","","26","BENONE AVENUE","","","","BENONE","LIMAVADY","LONDONDERRY","BT490LQ",271336,435713
"293976",293976,"","","","48","DRUMAVALLY","","","","DRUMAVALLY","LIMAVADY","LONDONDERRY","BT490LT",267145,432934
"294089",294089,"","","",NA,"DUNCRUN ROAD","","","","TAMLAGHT (PART OF GLEBE)","LIMAVADY","LONDONDERRY",NA,267704,431570
"294153",294153,"","","",NA,"AGHANLOO ROAD","","","","ARTIKELLY","LIMAVADY","LONDONDERRY","BT490HX",268391,425101
"294318",294318,"","","","52","CASTLE GARDENS","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SD",268300,422981
"294320",294320,"","","","62","LARGY ROAD","","","","LARGY","LIMAVADY","LONDONDERRY","BT499LH",267367,419541
"294323",294323,"SALVATION ARMY SHOP","","","2","LINENHALL STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490HQ",266995,423023
"294324",294324,"","","","48","GORTEEN CRESCENT","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT499EW",267490,421871
"294325",294325,"","","","7","WOODLAND WALK","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT499EP",267613,421818
"294327",294327,"","","","26","CASTLE GARDENS","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SD",268292,422897
"294328",294328,"","","","15","DRUMACHOSE PARK","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490NY",267987,422345
"294329",294329,"","","","78","ALEXANDER ROAD","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BP",267405,423369
"294330",294330,"","","","58","COOLESSAN WALK","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT499EN",267556,421838
"294331",294331,"","","","77","BALLYQUIN ROAD","","","","CARRAN","LIMAVADY","LONDONDERRY","BT499EY",268023,420712
"294332",294332,"BOVALLY MEDICAL CENTRE","","","2","ROSSAIR ROAD","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490TE",268371,422422
"294337",294337,"","","","21","THORNDALE","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490ST",268137,421896
"294338",294338,"","","","11","SHANREAGH PARK","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SF",267996,422617
"294339",294339,"","","","35","WHITEHILL PARK","","","","CARRAN","LIMAVADY","LONDONDERRY","BT490QF",268117,421450
"294340",294340,"","","","21","CRAWFORD SQUARE","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BZ",267685,423402
"294345",294345,"CUT'N'EDGE","","","169","IRISH GREEN STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AR",267314,422394
"294346",294346,"","","","11","GLENLEA PARK","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT490RR",267740,421726
"294348",294348,"HOWARD CASKIE","","","3","MAIN STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EP",266944,423138
"294349",294349,"","","","5","ASHDALE PARK","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490ED",267811,422393
"294354",294354,"","","","6","DROMORE AVENUE","","","","DROMORE","LIMAVADY","LONDONDERRY","BT499LX",265288,420080
"294356",294356,"","","","19","ROSSMARA","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490UA",269077,422148
"294357",294357,"","","","10","FIDDLERS WAY","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490TX",268565,422441
"294358",294358,"","","","7","ROSSVALE GARDENS","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490TH",268930,421901
"294359",294359,"","","","62","BALLYAVELIN ROAD","","","","BALLYMULLY","LIMAVADY","LONDONDERRY","BT490NQ",270512,420665
"294362",294362,"","","","14","BALLYAVELIN ROAD","","","","ARDGARVAN","LIMAVADY","LONDONDERRY","BT490NE",268748,420154
"294363",294363,"","","","63","ROSE PARK","","","","CARRAN","LIMAVADY","LONDONDERRY","BT490BF",268775,421560
"294367",294367,"","","","33","GORTEEN CRESCENT","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT499EW",267382,421839
"294368",294368,"","FLAT 14","BENEVENAGH FOLD","102","CONNELL STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EF",267390,422968
"294369",294369,"","","","34","TERRYDOO ROAD","","","","BALLYCRUM","LIMAVADY","LONDONDERRY","BT490PF",273533,421820
"294370",294370,"","","","12","ROSSNAVANNA","","","BOVALLY","BOVALLY","LIMAVADY","LONDONDERRY","BT490TU",268781,421987
"294371",294371,"","","","166","BALLYQUIN ROAD","","","","CARRICK EAST","LIMAVADY","LONDONDERRY","BT499HA",268969,418502
"294372",294372,"","","","5","ROSSLEA GARDENS","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490TJ",268919,421882
"294374",294374,"","","","1","GREENVALE","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490HN",268715,421996
"294376",294376,"","","","110","ROE MILL GARDENS","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AU",267121,422230
"294379",294379,"SEAN MULLAN BUILDERS","","","32","BALLYQUIN ROAD","","","WHITE HILL BUSINESS PARK","CARRAN","LIMAVADY","LONDONDERRY","BT499EY",268040,421398
"294381",294381,"","","","28","ROSE PARK","","","","CARRAN","LIMAVADY","LONDONDERRY","BT490BF",268873,421569
"294385",294385,"","","","20","ANDERSON PARK","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490RH",268244,422323
"294387",294387,"","","","6","DRUMCEATT PARK","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT499HE",267232,421774
"294388",294388,"","","","23","GLENLEA PARK","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT490RR",267765,421772
"294390",294390,"","","","107","MOUNT EDEN","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490TN",268465,421740
"294394",294394,"","","","177","DRUMSURN ROAD","","","","DRUMAGOSKER","LIMAVADY","LONDONDERRY","BT490PE",271367,419596
"294395",294395,"","","","41","RINGSEND ROAD","","","","GLENKEEN","LIMAVADY","LONDONDERRY","BT490QJ",271551,423118
"294405",294405,"","","","32","ROSSNAVANNA","","","BOVALLY","BOVALLY","LIMAVADY","LONDONDERRY","BT490TU",268823,422021
"294409",294409,"","","","24","JANES VALLEY","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490EH",268673,422309
"294424",294424,"","","","5","ANDERSON CRESCENT","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490RQ",268517,422140
"294431",294431,"","","","82","DRUMSURN ROAD","","","","BALLYNAHERY","LIMAVADY","LONDONDERRY","BT490PD",270701,422420
"294600",294600,"","","","246","DRUMSURN ROAD","","","","DRUMSURN LOWER","LIMAVADY","LONDONDERRY","BT490PG",271857,417259
"300540",300540,"","","","4B","GLENVIEW DRIVE","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT490RZ",267562,422086
"300567",300567,"","","","11D","ROE MILL GARDENS","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AT",267308,422318
"301207",301207,"","","","25","BALLYCLOSE STREET","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BL",267398,423443
"301215",301215,"","","","77","DRUMACHOSE PARK","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490NY",268150,422354
"301300",301300,"CROWN BAR & OFF LICENCE","","","24-26","IRISH GREEN STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AE",267195,423031
"301565",301565,"","","","4","ROE PARK COURT","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499RP",267030,422620
"301727",301727,"","","","21","DANNY BOY PLACE","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490UH",268885,422288
"301746",301746,"","","","53","SEACOAST ROAD","","","","CORNDALE UPPER","LIMAVADY","LONDONDERRY","BT499DW",266841,424691
"301782",301782,"","","","16","ASHBOURNE ROAD","","","","WALWORTH","LIMAVADY","LONDONDERRY","BT499QG",261250,422100
"301835",301835,"","","","1","PLANTATION VIEW","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490UX",268776,422923
"301925",301925,"","","","3","ROEMILL COURT","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT499NP",267181,422033
"302158",302158,"","","","46","EDENVALE","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490RF",268516,421928
"302159",302159,"","","","141","MOUNT EDEN","","","","CARRAN","LIMAVADY","LONDONDERRY","BT490TT",268522,421644
"302189",302189,"","","","45","LOMOND ROAD","","","","BACK","LIMAVADY","LONDONDERRY","BT499DZ",264839,426328
"302202",302202,"","","","10","DRUMACHOSE MEWS","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490UJ",267753,422548
"302254",302254,"","","","27","ANNADALE PARK","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BW",267096,422756
"302836",302836,"","","","171","BALLYQUIN ROAD","","","","CARRICK EAST","LIMAVADY","LONDONDERRY","BT499HA",268694,418278
"302844",302844,"","","","7","GRANGE PARK","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AW",267472,422698
"302855",302855,"","","","34","GORTEEN CRESCENT","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT499EW",267373,421825
"302910",302910,"","","WORKHOUSE MUSEUM","24B","BENEVENAGH DRIVE","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490AQ",267582,422734
"302911",302911,"","","","8A","GORTGARN ROAD","","","","GORTGARN","LIMAVADY","LONDONDERRY","BT490QW",271055,423911
"302912",302912,"","","","41","ROSSEDEN PARK","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490PQ",268883,422131
"303918",303918,"","","","19","BENEVENAGH DRIVE","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AQ",267462,422638
"303970",303970,"","","","262","DRUMSURN ROAD","","","","DRUMSURN LOWER","LIMAVADY","LONDONDERRY","BT490PP",272002,417007
"303971",303971,"","","","103","GORTNAGROSS ROAD","","","","DRUMGAVENNY LOWER","LIMAVADY","LONDONDERRY","BT490PS",272157,416166
"304009",304009,"","","","5","BETTS ROAD","","","","DRUMSURN LOWER","LIMAVADY","LONDONDERRY","BT490PW",271764,417130
"304091",304091,"DONAGHEY BROS.","","","75","SEACOAST ROAD","","","","LOWER CORNDALE","LIMAVADY","LONDONDERRY","BT499DW",266418,424972
"304177",304177,"","","","31","WHISPERING PINES","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490UB",269033,422466
"304252",304252,"","","","39","ASHBOURNE ROAD","","","","WALWORTH","LIMAVADY","LONDONDERRY","BT499QG",261250,422100
"304310",304310,"","","","49","MOUNT EDEN","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490TN",268410,421906
"304366",304366,"","","","09-Nov","LINENHALL STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490HQ",266989,423063
"304505",304505,"","","","23","MOYS ROAD","","","","MOYS","LIMAVADY","LONDONDERRY","BT499NQ",265168,417537
"304526",304526,"","","","31","CASTLE PARK","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SW",268456,423111
"304583",304583,"","","","11","SCROGGY CLOSE","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490SU",267903,422011
"304638",304638,"","","","7","BALLYLEAGRY ROAD","","","","TERRYDREMONT SOUTH","LIMAVADY","LONDONDERRY","BT490NJ",269179,418704
"304648",304648,"","","","105-107","MAIN STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EP",267237,423344
"305236",305236,"","","","22","CROSSNADONNELL ROAD","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490BD",268697,422737
"305252",305252,"","","","68","DRUMMOND MANOR","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490UQ",269212,422318
"305276",305276,"","","","47","DRUMMOND MANOR","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490UP",269159,422464
"305344",305344,"","","","51","DRUMMOND MANOR","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490UP",269198,422460
"305355",305355,"","","","27","GORTENANIMA","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490GF",268782,422798
"305367",305367,"","","","17","GORTENANIMA","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490GF",268714,422784
"305563",305563,"","","","19","ASHBOURNE ROAD","","","","WALWORTH","LIMAVADY","LONDONDERRY","BT499QG",261250,422100
"306041",306041,"","","","7","TAYLOR PARK","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490NT",268061,422184
"306060",306060,"","","","3","ROSSLYN CLOSE","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490WA",269088,422088
"306067",306067,"","","","27","RATHBEG CRESCENT","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AT",267557,422573
"306103",306103,"","","","94","BOLEA ROAD","","","","KILLYBREADY","LIMAVADY","LONDONDERRY","BT490QU",271406,425717
